Category	Name	MemberName	Type	Address	Sample			
Struct	FTP_Connect	FTP_UnitNo	INT	-				
		FTP_ServerNo	INT	-				
		FTP_SrcFile		-				
		FTP_DstFolder		-				
								
								
								
		Name	Type	Address	Sample	Unit	Word	Length
Struct	SignalReadSettingStruct	SettingNo	INT	-	0	0-16	1	2
		SignalUnitNo	INT	-	0	0-48	1	2
		SignalChannelNo	INT	-	0	0-3	1	1
		SignalMemoryNo	INT	-	0	0-4	1	1
		SignalFrequency	INT	-	1000	Hz	1	4
		SignalLength	INT	-	20	Second	1	3
		TrigerFrequency	INT	-	12	1, 2, 3, 4, 5, 6, 10, 12, 15, 20, 30, 60 / 1, 2, 3, 4, 6, 8, 12, 24 	1	2
		TrigerBaseUnit	INT	-	2	1:Date 2:Hour 3:Minute	1	1
		TrigerShiftTime	INT	-	150	Second	1	4
		SeriesName	STRING[64]	-	“SignalName”		32	64
							41	94
								
FB		SignalReadSetting_ToString		-				
								
		SignalReadSettings	SignalReadSettingStruct[16]	-				
		SignalReadSettingStrings	STRING[128]x16	EM0000-2047				
